id,solution_label,file_name,folder_name,date,Ag 328.068,Ag 338.289,Al 308.215,Al 396.152,As 188.980,As 234.984,B 249.678,B 249.772,Ba 455.403,Ba 493.408,Bi 223.061,Bi 306.771,Ca 317.933,Ca 396.847,Ca 422.673,Cd 214.439,Cd 226.502,Ce 418.659,Ce 446.021,Co 228.615,Co 230.786,Co 231.160,Cr 267.716,Cr 283.563,Cu 324.754,Cu 327.395,Fe 238.204,Fe 259.940,Ga 287.423,Ga 417.204,In 410.176,In 451.131,K 766.491,K 769.897,La 333.749,La 408.671,Li 610.365,Li 670.783,Mg 279.553,Mg 280.270,Mg 285.213,Mn 257.610,Mn 259.372,Mo 281.615,Mo 284.824,Na 568.821,Na 588.995,Na 589.592,Ni 230.299,Ni 231.604,P 213.618,P 214.914,Pb 220.353,Pb 405.781,S 180.669,S 181.972,Sb 206.834,Sb 217.582,Sc 357.253,Sc 361.383,Sn 189.925,Sn 283.998,Sr 407.771,Sr 421.552,Th 283.730,Th 335.123,Th 401.913,Ti 334.941,Ti 337.280,Tl 276.789,Tl 351.923,U 385.957,U 409.013,V 309.310,V 311.837,Y 360.074,Y 371.029,Y 377.433,Yb 328.937,Yb 369.419,Zn 202.548,Zn 213.857,Au 242.794_2,Au 242.794_1,Si 250.690,Si 251.432,Si 251.611,Si 288.158,Cu 213.598,Cu 224.700,Nb 309.417,Nb 313.078,Ta 263.558,Ta 268.517,W 207.912,W 209.475,Mo 202.032,Mo 204.598,Se 203.985,Se 196.026,Au 267.594_2,Pd 340.458,Pt 214.424,Au 267.594_1,Pd 360.955,Pt 306.471,Pt 299.796,Si 288.158_2,Si 288.158_1,Ni 221.648,Zn 213.857_1,Zn 334.502_1,Cr 357.868,Zn 213.857_2,Co 238.892,Cd 228.802,Al 394.401,Sb 231.146,Tl 190.794,Zn 334.502_2,Fe 239.563,Mg 279.800,P 178.222,Pb 280.199,Ga 294.363,In 230.606,V 292.401,Sn 242.950,Sr 216.596,Mn 294.921,Ti 336.122,Li 460.289,Bi 222.821,Zn 334.502
1,Blank,1404-01-06 oes 2822 2816 2818.csv,oes 4ac,1404/01/06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CRM-BLANK Z,1404-01-06 oes 2822 2816 2818.csv,oes 4ac,1404/01/06,2.72862,7.39507,-176.811,113.303,31.2132,-12.3603,42.7082,41.3009,-2.04124,-2.93292,113.582,82.2091,-9.00763,25.8013,138.944,-2.04631,-6.00849,9.92645,4.61592,-6.32373,-6.09539,-8.25331,5.73969,2.12214,-3.86516,-4.00056,-892.31,219.679,10.4217,-12.7826,-15.631,-11.2367,44.8227,-194.09,3.8793,5.26527,42.8999,-0.986441,-3085.79,42.8669,41.3983,0.704102,1.07685,5.83563,9.21872,503.931,67.7607,314.352,-7.42005,-11.0967,-22.1876,12.1239,20.7011,28.547,267.798,337.241,-4.45276,4.35386,0.455005,0.310133,56.1229,8.22014,-7.23088,-10.8263,3.1854,2.77863,-0.139585,21.5103,12.1275,-5.97554,20.1225,-6.21352,7.44432,-2.74591,-6.31247,0.499813,0.44163,0.247003,0.481755,0.282961,-6.60708,-14.8933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BLANK R,1404-01-06 oes 2822 2816 2818.csv,oes 4ac,1404/01/06,2.06243,11.1536,1889.22,2721.84,24.2142,49.5564,28.1214,28.6302,61.3872,60.0644,113.767,100.752,223.815,294.018,374.113,-1.78695,-5.71186,10.5297,5.41287,-4.48098,-4.82479,-6.6727,4.86068,1.45361,83.2197,83.1342,664.84,2081.12,12.0754,18.1668,4.75458,-36.4295,717.895,535.17,6.47106,6.37801,42.4253,-0.164715,-2894.33,161.062,154.387,10.8849,11.9566,8.27412,8.89204,1845.89,724.932,858.352,-5.48886,-7.95789,-1.41138,11.9298,54.0966,19.0094,315.002,363.231,-19.7226,6.75177,1.44405,0.403986,30.6083,7.80686,-0.958867,-5.59913,2.11378,10.4119,3.56739,75.2947,73.3099,99.0278,-22.1318,-1.79045,4.01428,-3.31515,-6.36458,1.03649,0.808479,0.834981,0.563771,0.209434,-2.41463,-11.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,blnk nit,1404-01-06 oes 2822 2816 2818.csv,oes 4ac,1404/01/06,0.441394,0.908632,-45.3841,13.0482,2.21511,-2.72902,0.494015,0.111099,-1.07185,-1.23189,20.5195,19.3537,1.64054,7.64198,29.7718,-0.512935,-1.21743,1.80922,3.03724,-1.03559,-1.32505,-1.6168,1.50303,0.668397,-1.74506,-1.88077,-201.18,22.9899,2.81593,-0.753788,-4.28782,-17.3203,114.045,4.51019,0.608241,0.984686,8.36461,-0.482578,-622.802,4.41779,4.86908,-1.19204,-1.28111,1.47091,1.79234,232.641,-35.5755,25.3378,-1.09328,-1.59731,-4.10667,21.8008,-0.808084,3.53118,86.849,89.2422,0.60775,4.45676,-0.134076,0.0950912,8.70677,3.15354,-1.40621,-2.11955,1.04506,0.516843,0.549346,3.67745,1.87991,2.73354,-2.07911,0.055973,1.18049,38.6304,38.9648,0.110813,0.109773,0.088172,0.194758,0.0768961,-1.24915,-3.02342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,blnk tiz,1404-01-06 oes 2822 2816 2818.csv,oes 4ac,1404/01/06,0.997254,1.46985,-45.7658,12.6147,3.60211,0.698628,8.50802,8.30511,-0.528095,-0.707387,22.6721,15.9357,71.4846,90.901,96.1873,-0.591736,-1.17588,2.42796,2.24018,-1.30618,-1.13653,-1.71538,2.98899,2.26527,-1.75842,-1.90597,-167.946,52.6026,3.22705,-1.04675,-1.02306,603.577,43.1481,-83.9249,0.621238,1.18812,8.45597,-0.470524,-613.937,11.7661,11.1083,-0.0162802,-0.0603956,1.50692,1.68632,246.923,184.002,209.345,0.216654,-0.452264,9.36126,13.146,4.46736,1.52475,80.3611,94.9548,-3.27764,2.3443,-0.37379,0.0602508,7.66598,6.4537,-1.03885,-1.75048,0.354158,-2.31359,0.181509,4.40551,2.58403,-0.607949,-1.61629,-2.18026,-1.16402,13.0745,12.9275,0.158176,0.105926,0.129211,0.115414,0.0543017,12.1342,10.5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Blank,1404-01-06 oes 2824 2770 2663(1150-1269).csv,oes 4ac,1404/01/06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CRM-BLANK Z,1404-01-06 oes 2824 2770 2663(1150-1269).csv,oes 4ac,1404/01/06,2.72862,7.39507,-176.811,113.303,31.2132,-12.3603,42.7082,41.3009,-2.04124,-2.93292,113.582,82.2091,-9.00763,25.8013,138.944,-2.04631,-6.00849,9.92645,4.61592,-6.32373,-6.09539,-8.25331,5.73969,2.12214,-3.86516,-4.00056,-892.31,219.679,10.4217,-12.7826,-15.631,-11.2367,44.8227,-194.09,3.8793,5.26527,42.8999,-0.986441,-3085.79,42.8669,41.3983,0.704102,1.07685,5.83563,9.21872,503.931,67.7607,314.352,-7.42005,-11.0967,-22.1876,12.1239,20.7011,28.547,267.798,337.241,-4.45276,4.35386,0.455005,0.310133,56.1229,8.22014,-7.23088,-10.8263,3.1854,2.77863,-0.139585,21.5103,12.1275,-5.97554,20.1225,-6.21352,7.44432,-2.74591,-6.31247,0.499813,0.44163,0.247003,0.481755,0.282961,-6.60708,-14.8933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BLANK R,1404-01-06 oes 2824 2770 2663(1150-1269).csv,oes 4ac,1404/01/06,2.06243,11.1536,1889.22,2721.84,24.2142,49.5564,28.1214,28.6302,61.3872,60.0644,113.767,100.752,223.815,294.018,374.113,-1.78695,-5.71186,10.5297,5.41287,-4.48098,-4.82479,-6.6727,4.86068,1.45361,83.2197,83.1342,664.84,2081.12,12.0754,18.1668,4.75458,-36.4295,717.895,535.17,6.47106,6.37801,42.4253,-0.164715,-2894.33,161.062,154.387,10.8849,11.9566,8.27412,8.89204,1845.89,724.932,858.352,-5.48886,-7.95789,-1.41138,11.9298,54.0966,19.0094,315.002,363.231,-19.7226,6.75177,1.44405,0.403986,30.6083,7.80686,-0.958867,-5.59913,2.11378,10.4119,3.56739,75.2947,73.3099,99.0278,-22.1318,-1.79045,4.01428,-3.31515,-6.36458,1.03649,0.808479,0.834981,0.563771,0.209434,-2.41463,-11.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,blnk nit,1404-01-06 oes 2824 2770 2663(1150-1269).csv,oes 4ac,1404/01/06,0.441394,0.908632,-45.3841,13.0482,2.21511,-2.72902,0.494015,0.111099,-1.07185,-1.23189,20.5195,19.3537,1.64054,7.64198,29.7718,-0.512935,-1.21743,1.80922,3.03724,-1.03559,-1.32505,-1.6168,1.50303,0.668397,-1.74506,-1.88077,-201.18,22.9899,2.81593,-0.753788,-4.28782,-17.3203,114.045,4.51019,0.608241,0.984686,8.36461,-0.482578,-622.802,4.41779,4.86908,-1.19204,-1.28111,1.47091,1.79234,232.641,-35.5755,25.3378,-1.09328,-1.59731,-4.10667,21.8008,-0.808084,3.53118,86.849,89.2422,0.60775,4.45676,-0.134076,0.0950912,8.70677,3.15354,-1.40621,-2.11955,1.04506,0.516843,0.549346,3.67745,1.87991,2.73354,-2.07911,0.055973,1.18049,38.6304,38.9648,0.110813,0.109773,0.088172,0.194758,0.0768961,-1.24915,-3.02342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,blnk tiz,1404-01-06 oes 2824 2770 2663(1150-1269).csv,oes 4ac,1404/01/06,0.997254,1.46985,-45.7658,12.6147,3.60211,0.698628,8.50802,8.30511,-0.528095,-0.707387,22.6721,15.9357,71.4846,90.901,96.1873,-0.591736,-1.17588,2.42796,2.24018,-1.30618,-1.13653,-1.71538,2.98899,2.26527,-1.75842,-1.90597,-167.946,52.6026,3.22705,-1.04675,-1.02306,603.577,43.1481,-83.9249,0.621238,1.18812,8.45597,-0.470524,-613.937,11.7661,11.1083,-0.0162802,-0.0603956,1.50692,1.68632,246.923,184.002,209.345,0.216654,-0.452264,9.36126,13.146,4.46736,1.52475,80.3611,94.9548,-3.27764,2.3443,-0.37379,0.0602508,7.66598,6.4537,-1.03885,-1.75048,0.354158,-2.31359,0.181509,4.40551,2.58403,-0.607949,-1.61629,-2.18026,-1.16402,13.0745,12.9275,0.158176,0.105926,0.129211,0.115414,0.0543017,12.1342,10.5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
